cell,knn_all,knn_knn,knn_elow,lnIC50_mean
22RV1,1,1,0,2.5528801888888886
23132-87,3,13,0,2.00105145
42-MG-BA,3,13,0,2.2016799055555554
5637,1,13,0,2.6084773128491623
639-V,3,13,0,2.3471647318435753
647-V,1,13,0,2.7419500277777775
697,2,13,0,0.3532804662921347
769-P,1,13,0,2.392155322222222
786-0,3,13,0,2.3047312444444445
8-MG-BA,3,13,0,1.7178899664804468
8305C,1,1,0,2.943012511111111
8505C,4,13,0,3.2271652888888887
A101D,3,1,0,1.9447729777777782
A172,3,13,0,2.1561906833333335
A204,1,1,0,2.826526938888889
A2058,3,13,0,1.8479615810055865
A253,1,13,0,2.70259538547486
A2780,2,13,0,1.093346294444444
A3-KAW,2,13,0,0.6331648125000001
A375,3,13,0,1.9935364143646406
A4-Fuk,2,13,0,0.5960665444444443
A427,1,13,0,2.8091799052631576
A498,4,13,0,3.1133851899441343
A549,3,13,0,1.8082166464088398
A673,3,13,0,1.6285919555555555
A704,1,13,0,2.4913215921787706
ABC-1,4,13,0,4.5026601770833325
ACHN,3,13,0,2.2994298222222223
AGS,3,13,0,1.3761601899441345
ALL-PO,2,13,0,1.0181010502793297
ALL-SIL,2,13,0,1.31599456424581
AM-38,3,13,0,2.235159394444444
AMO-1,2,13,0,0.7229113483146068
AN3-CA,1,1,0,2.3777507150837995
ARH-77,2,13,0,1.1040514388888893
ASH-3,1,13,0,2.6575036166666663
ATN-1,2,5,0,1.0684511460674158
AU565,3,13,0,2.229717407216495
AsPC-1,0,13,1,5.330396477777778
B-CPAP,1,13,0,2.7226631508379895
BALL-1,2,13,0,0.9523939106145252
BB49-HNC,3,1,0,1.9108578555555555
BC-1,2,13,0,0.8204776111111113
BE-13,2,13,0,1.05242795
BE2-M17,1,13,0,2.6251845611111118
BFTC-905,3,13,0,1.5915548777777784
BFTC-909,3,13,0,2.191558972067039
BHT-101,3,13,0,2.1778524277777778
BICR10,1,13,0,2.545725822222222
BICR22,3,13,0,1.8661523833333336
BICR78,4,13,0,3.321025233333334
BL-41,2,13,0,0.7930872333333335
BPH-1,3,13,0,1.7216197333333338
BT-20,1,13,0,2.62504298974359
BT-474,0,13,1,3.872156502564103
BT-483,0,3,1,5.35644505737705
BT-549,1,1,0,2.8940772358974365
BV-173,2,13,0,0.5746110808823528
Becker,1,13,0,2.999059544444444
BxPC-3,1,13,0,2.5990328333333332
C-33-A,3,13,0,1.9555109444444447
C-4-I,1,13,0,2.58418151396648
C2BBe1,4,16,0,3.3782546956521737
C32,4,13,0,3.1588046499999995
C3A,0,13,0,3.9403521444444447
CA46,3,13,0,2.129960683333334
CADO-ES1,3,13,0,2.0774420888888887
CAL-120,0,8,1,4.155584682051282
CAL-148,3,1,0,1.504129239669421
CAL-27,3,13,0,2.00220425
CAL-29,1,13,0,2.440544938888889
CAL-33,3,13,0,2.1513037722222226
CAL-39,3,13,0,1.238215022222222
CAL-51,3,1,0,2.0976022564102563
CAL-54,3,15,0,1.8126888777777777
CAL-62,3,13,0,2.346555644444444
CAL-72,1,13,0,2.3061631555555557
CAL-78,1,1,0,2.599409716666667
CAL-85-1,1,1,0,2.7619066256410254
CAMA-1,1,13,0,2.5347963076923072
CAPAN-1,4,13,0,3.2010192611111115
CAPAN-2,0,15,0,3.931917766666667
CAS-1,4,13,0,3.373987494382022
CCK-81,3,13,0,2.1021030432432437
CCRF-CEM,2,13,0,1.046705327777778
CESS,2,13,0,1.24373992178771
CFPAC-1,1,13,0,2.9201448444444447
CGTH-W-1,1,13,0,2.720174676470588
CHL-1,1,13,0,2.509572566666667
CHP-134,3,13,0,2.2668656123595503
CHP-212,3,13,0,1.6458418491620115
CHSA8926,1,1,0,2.757011192090395
CL-11,4,4,0,3.6826466630434784
CL-34,1,13,0,2.7451215575221237
CL-40,1,13,0,2.537201486338798
CML-T1,2,13,0,0.805101611111111
COLO-205,3,1,0,2.1480088586956527
COLO-320-HSR,3,1,0,2.1260143423913043
COLO-668,1,13,0,2.763298311111112
COLO-678,0,13,1,5.544892538043479
COLO-679,1,13,0,2.6722756111111114
COLO-680N,0,13,0,4.168219222222222
COLO-684,1,13,0,2.600561216666666
COLO-792,1,1,0,2.4242054078212294
COLO-824,1,13,0,2.4981250871794876
COLO-829,0,13,0,3.9744502290502797
COR-L105,4,13,0,2.7686990500000004
COR-L23,1,13,0,2.8837636055555556
COR-L279,3,13,0,1.5910493529411764
COR-L311,3,13,0,1.8990572458100559
COR-L32,3,13,0,1.4701596813186815
COR-L88,4,13,0,3.0350120392156863
COR-L95,1,13,0,1.1456417083333335
CP66-MEL,4,13,0,3.928864500000001
CPC-N,3,13,0,1.917794460674158
CS1,1,13,0,2.5623090349650353
CTV-1,2,13,0,0.8371468314606741
CW-2,1,13,0,2.732276711956522
Ca-Ski,1,13,0,2.3706655166666666
Ca9-22,3,13,0,2.1722905138121544
CaR-1,1,13,0,2.714747545945946
Calu-3,4,1,0,3.485902622222222
Calu-6,1,13,0,2.8479660277777783
Caov-4,1,1,0,2.1530143663366337
D-263MG,1,13,0,2.6889491340782126
D-283MED,2,13,0,1.153587288888889
D-392MG,1,13,0,2.7769502999999998
DAN-G,1,13,0,2.268699161111111
DB,2,9,0,1.625687787709497
DBTRG-05MG,0,13,0,4.685347877777778
DEL,2,13,0,0.44923871508379876
DG-75,3,13,0,1.9921916703910618
DK-MG,4,13,0,3.0636228500000002
DMS-114,1,13,0,2.6693132999999993
DMS-273,3,13,0,1.8982772905027931
DMS-53,4,14,0,3.4115244222222225
DMS-79,1,13,0,2.7372387578947373
DND-41,2,13,0,1.5054601222222221
DOHH-2,2,13,0,0.6385803473684211
DOK,3,13,0,1.655780277777778
DOV13,3,13,0,1.8623782346368716
DSH1,3,13,0,1.7712195722222226
DU-145,4,13,0,3.5988311173184355
DU-4475,2,10,1,1.0214752642487046
Daoy,3,13,0,2.010142536312849
Daudi,2,13,0,1.5588647611111113
Detroit562,3,13,0,1.744568655555556
DiFi,1,13,0,2.2348546032608696
DoTc2-4510,1,13,0,2.3018610499999994
EB-3,3,13,0,2.061524433333333
EB2,3,13,0,1.7541754611111113
EBC-1,1,9,0,2.543418983333334
