Name,Cell Model Passports,COSMIC ID,TCGA Classification,Tissue,Tissue sub-type,Dataset,Number of drugs
201T,SIDM00055,1287381,LUAD,lung,lung_NSCLC_adenocarcinoma,GDSC1,241
22RV1,SIDM00499,924100,PRAD,urogenital_system,prostate,GDSC1,325
22RV1,SIDM00499,924100,PRAD,urogenital_system,prostate,GDSC2,180
23132-87,SIDM00980,910924,STAD,digestive_system,stomach,GDSC1,316
23132-87,SIDM00980,910924,STAD,digestive_system,stomach,GDSC2,180
42-MG-BA,SIDM00982,687561,GBM,nervous_system,glioma,GDSC1,317
42-MG-BA,SIDM00982,687561,GBM,nervous_system,glioma,GDSC2,180
451Lu,SIDM01240,1287706,SKCM,skin,melanoma,GDSC1,324
5637,SIDM00807,687452,BLCA,urogenital_system,bladder,GDSC1,319
5637,SIDM00807,687452,BLCA,urogenital_system,bladder,GDSC2,179
639-V,SIDM00999,906798,BLCA,urogenital_system,bladder,GDSC1,325
639-V,SIDM00999,906798,BLCA,urogenital_system,bladder,GDSC2,179
647-V,SIDM00983,906797,BLCA,urogenital_system,bladder,GDSC1,319
647-V,SIDM00983,906797,BLCA,urogenital_system,bladder,GDSC2,180
697,SIDM01076,906800,UNCLASSIFIED,blood,lymphoblastic_leukemia,GDSC1,356
697,SIDM01076,906800,UNCLASSIFIED,blood,lymphoblastic_leukemia,GDSC2,178
769-P,SIDM00803,910922,KIRC,kidney,kidney,GDSC1,312
769-P,SIDM00803,910922,KIRC,kidney,kidney,GDSC2,180
786-0,SIDM00125,905947,KIRC,kidney,kidney,GDSC1,318
786-0,SIDM00125,905947,KIRC,kidney,kidney,GDSC2,180
8-MG-BA,SIDM00998,687562,GBM,nervous_system,glioma,GDSC1,366
8-MG-BA,SIDM00998,687562,GBM,nervous_system,glioma,GDSC2,179
8305C,SIDM00997,906795,THCA,thyroid,thyroid,GDSC1,325
8305C,SIDM00997,906795,THCA,thyroid,thyroid,GDSC2,180
8505C,SIDM00996,924102,THCA,thyroid,thyroid,GDSC1,316
8505C,SIDM00996,924102,THCA,thyroid,thyroid,GDSC2,180
A101D,SIDM00801,910921,SKCM,skin,melanoma,GDSC1,359
A101D,SIDM00801,910921,SKCM,skin,melanoma,GDSC2,180
A172,SIDM00799,687563,GBM,nervous_system,glioma,GDSC1,308
A172,SIDM00799,687563,GBM,nervous_system,glioma,GDSC2,180
A204,SIDM00798,910784,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,GDSC1,319
A204,SIDM00798,910784,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,GDSC2,180
A2058,SIDM00797,906792,SKCM,skin,melanoma,GDSC1,270
A2058,SIDM00797,906792,SKCM,skin,melanoma,GDSC2,179
A253,SIDM00796,906794,UNCLASSIFIED,aero_digestive_tract,head_and_neck,GDSC1,367
A253,SIDM00796,906794,UNCLASSIFIED,aero_digestive_tract,head_and_neck,GDSC2,179
A2780,SIDM00210,906804,UNCLASSIFIED,urogenital_system,ovary,GDSC1,325
A2780,SIDM00210,906804,UNCLASSIFIED,urogenital_system,ovary,GDSC2,180
A3-KAW,SIDM00495,910935,DLBC,blood,B_cell_lymphoma,GDSC1,359
A3-KAW,SIDM00495,910935,DLBC,blood,B_cell_lymphoma,GDSC2,176
A375,SIDM00795,906793,SKCM,skin,melanoma,GDSC1,324
A375,SIDM00795,906793,SKCM,skin,melanoma,GDSC2,181
A388,SIDM00794,910697,UNCLASSIFIED,skin,skin_other,GDSC1,361
A4-Fuk,SIDM00502,910934,DLBC,blood,B_cell_lymphoma,GDSC1,334
A4-Fuk,SIDM00502,910934,DLBC,blood,B_cell_lymphoma,GDSC2,180
A427,SIDM00810,910851,UNCLASSIFIED,lung,lung_NSCLC_not_specified,GDSC1,321
A427,SIDM00810,910851,UNCLASSIFIED,lung,lung_NSCLC_not_specified,GDSC2,95
A431,SIDM00995,910925,UNCLASSIFIED,skin,skin_other,GDSC1,318
A498,SIDM00124,905948,KIRC,kidney,kidney,GDSC1,357
A498,SIDM00124,905948,KIRC,kidney,kidney,GDSC2,179
A549,SIDM00903,905949,LUAD,lung,lung_NSCLC_adenocarcinoma,GDSC1,146
A549,SIDM00903,905949,LUAD,lung,lung_NSCLC_adenocarcinoma,GDSC2,181
A673,SIDM00848,684052,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,GDSC1,325
A673,SIDM00848,684052,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,GDSC2,180
A704,SIDM00849,910920,KIRC,kidney,kidney,GDSC1,323
A704,SIDM00849,910920,KIRC,kidney,kidney,GDSC2,179
ABC-1,SIDM00494,906791,LUAD,lung,lung_NSCLC_adenocarcinoma,GDSC1,317
ABC-1,SIDM00494,906791,LUAD,lung,lung_NSCLC_adenocarcinoma,GDSC2,96
ACHN,SIDM00123,905950,KIRC,kidney,kidney,GDSC1,315
ACHN,SIDM00123,905950,KIRC,kidney,kidney,GDSC2,180
AGS,SIDM00850,906790,STAD,digestive_system,stomach,GDSC1,292
AGS,SIDM00850,906790,STAD,digestive_system,stomach,GDSC2,179
ALL-PO,SIDM00211,910944,ALL,blood,lymphoblastic_leukemia,GDSC1,366
ALL-PO,SIDM00211,910944,ALL,blood,lymphoblastic_leukemia,GDSC2,179
ALL-SIL,SIDM00994,1295740,ALL,blood,T_cell_leukemia,GDSC1,366
ALL-SIL,SIDM00994,1295740,ALL,blood,T_cell_leukemia,GDSC2,179
AM-38,SIDM00492,910933,GBM,nervous_system,glioma,GDSC1,358
AM-38,SIDM00492,910933,GBM,nervous_system,glioma,GDSC2,180
